NU_INSCRICAO;NU_ANO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,1006E+11;2023;F;GO;E;F;D;D;3;G;A;B;D;A;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;F;GO;B;D;B;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10059E+11;2023;F;GO;H;H;F;A;2;B;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
2,10061E+11;2023;M;GO;H;D;B;B;3;B;A;D;D;B;A;B;A;B;A;A;A;A;B;A;A;D;A;C;B
2,10061E+11;2023;F;GO;C;D;B;B;2;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;B
2,10061E+11;2023;F;GO;C;C;F;F;3;B;A;B;C;B;A;B;A;A;A;A;A;A;B;B;B;D;A;B;B
2,1006E+11;2023;F;GO;E;E;D;B;3;D;A;C;C;C;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;B;E;B;B;2;G;A;C;C;B;A;B;A;B;A;B;B;A;B;A;A;C;A;A;B
2,10059E+11;2023;F;GO;E;E;A;D;5;B;A;B;C;B;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
2,1006E+11;2023;F;GO;C;E;C;B;3;C;A;B;D;B;B;B;A;B;A;B;A;A;B;A;B;D;A;A;B
2,1006E+11;2023;M;GO;H;E;C;B;4;D;A;C;D;A;C;B;A;B;A;B;A;A;C;A;A;E;A;B;B
2,1006E+11;2023;F;GO;C;E;C;B;3;C;A;B;D;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;B;G;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;F;GO;D;E;C;B;6;D;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;E;A;A;B
2,10059E+11;2023;F;GO;B;B;B;B;4;B;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;F;GO;D;D;B;B;4;C;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;D;E;B;B;4;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10059E+11;2023;M;GO;F;E;D;F;4;G;A;C;D;C;A;C;C;B;A;B;A;B;D;A;B;E;A;B;B
2,10059E+11;2023;M;GO;C;B;A;A;3;A;A;B;C;B;B;C;A;B;A;A;A;A;C;B;A;C;A;A;A
2,10061E+11;2023;M;GO;B;B;B;B;3;C;A;B;D;A;A;B;A;B;A;A;A;A;C;A;A;C;A;B;B
2,1006E+11;2023;F;GO;A;B;A;B;2;B;A;B;B;B;A;B;A;B;B;A;A;A;B;A;A;C;A;A;B
2,10061E+11;2023;F;GO;C;G;C;D;4;G;A;C;D;D;A;B;B;B;A;A;A;A;B;A;A;E;A;A;B
2,10061E+11;2023;F;GO;H;G;F;D;2;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,1006E+11;2023;F;GO;B;E;A;B;4;C;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
